pid,label,site_name,occupied,collection_number,material,description,motifs,teeth,fragmentation,context_type,gender,age,placement,length (cm),width (cm),order,layout,collection,thumbnail,full,manifest
11,Adams,Adams,1565-1590,RMSC 567/94,bone,60. Full comb. It has five teeth that form 59% of its total length. It is 15 cm long by 5.5 cm wide and its handle is carved and represents a bear clan animal or important figure in ceremonies. Probably made with a stone knife metal being still rare at the time it was made. It was found in a funerary context on the seneca Adams site (NY). It dates from about 1575-1590 AD.C. (RMSC 567/94). (folsom 1993: 407,mammal; bear; single;,5,complete,funerary,,,,15,5.5,010,qatar_item,combs,"/img/derivatives/iiif/images/11/full/250,/0/default.jpg","/img/derivatives/iiif/images/11/full/1140,/0/default.jpg",/img/derivatives/iiif/11/manifest.json
12,Adams,Adams,1565-1590,RMSC 240/94,bone,126. Complete moose comb. Undecorated triangular handle a triangular perforation at the top. It has 11 teeth forming 39% of the comb. It measures 11.4 cm in length and 5.3 cm in width. It comes from the seneca Adams site 1575-1590 AD. J.-C found in the upset burial of a woman (cemetery 2 burial #51). (RMSC 240/94). (Wray 1987: 37,triangular;,11,complete,funerary,female,adult,,11.4,5.3,011,qatar_item,combs,"/img/derivatives/iiif/images/12/full/250,/0/default.jpg","/img/derivatives/iiif/images/12/full/1140,/0/default.jpg",/img/derivatives/iiif/12/manifest.json
13,Adams,Adams,1565-1590,RMSC 568/94,bone,127. Complete moose comb. He has seven teeth. Its handle is square with a carved circle in the center It measures 7.9 cm in length and 4.1 cm in width. Its teeth form 54% of its total length. It comes from the seneca Adams site 1575-1590 AD (RMSC 568/94). (Wray  1987: 37,none;,7,complete,unk,,,,7.9,4.1,012,qatar_item,combs,"/img/derivatives/iiif/images/13/full/250,/0/default.jpg","/img/derivatives/iiif/images/13/full/1140,/0/default.jpg",/img/derivatives/iiif/13/manifest.json
14,Adams,Adams,1565-1590,RMSC 146/94,bone,193. Full comb undecorated. The handle is hollowed out rather rectangular in shape. It has six teeth which form 46% of the comb. It measures 11 cm in length and 4 cm in width. It comes from the seneca Adams site (1575-1590 AD). It was found in the grave of a woman near a shoulder (cemetery burial 77). (RMSC 146/94) (Wray 1963: 39,none;,6,complete,funerary,female,adult,shoulder,11,4,013,qatar_item,combs,"/img/derivatives/iiif/images/14/full/250,/0/default.jpg","/img/derivatives/iiif/images/14/full/1140,/0/default.jpg",/img/derivatives/iiif/14/manifest.json
15,Adams,Adams,1565-1590,RMSC 569/94,bone,223. Incomplete comb made of caribou andouiller measuring 14 cm in length and about 3.5 cm in width having had 6 teeth that form 39% of its total length. The carved handle depicts a female figurine hiding her breasts and genitals (September Morn). It was found in a funerary context accompanied by a male figurine perhaps having already been part of a comb. Adams Site Seneca 1550-1575 AD (RMSC 569/94). (Wray 1987,human; woman; september morn; single;,6,incomplete,funerary,,,,14,3.5,014,qatar_item,combs,"/img/derivatives/iiif/images/15/full/250,/0/default.jpg","/img/derivatives/iiif/images/15/full/1140,/0/default.jpg",/img/derivatives/iiif/15/manifest.json
16,Tram,Tram,1580-1595,NYSM 15429,bone,Moose andouiller comb incomplete measuring 11.5 cm long by 4.9 cm wide. He had 10 teeth (all broken). The triangular handle has a projection in the top that could represent a bird It was found in the burial of an adult woman placed near the head. Site Tram (Seneca) 1570-1590 AD (NYSM 15429) (Wray 1991: 44,bird; single;,10,incomplete,funerary,female,adult,head,11.5,4.9,015,qatar_item,combs,"/img/derivatives/iiif/images/16/full/250,/0/default.jpg","/img/derivatives/iiif/images/16/full/1140,/0/default.jpg",/img/derivatives/iiif/16/manifest.json
17,Tram,Tram,1580-1595,NYSM 28792,bone,396. fragment of the handle of a comb. It comes from a dump at the seneca Tram site dating from 1570 to 1590 AD. J.-C. (NYSM 28792,none;,,fragment,refuse,,,,,,016,qatar_item,combs,"/img/derivatives/iiif/images/17/full/250,/0/default.jpg","/img/derivatives/iiif/images/17/full/1140,/0/default.jpg",/img/derivatives/iiif/17/manifest.json
18,Cameron,Cameron,1595-1610,RMSC 36/41,bone,129. Complete moose comb. Its handle is carved and represents a bear in profile. Its base is incised with four oblique lines and one horizontal line. It has 11 teeth that form 53% of its total height. It measures 6.8 cm in length and 3.3 cm in width. He was found in the grave of a child of about 6 years old placed behind his head. It comes from the Seneca Cameron site dated 1575-1595 AD.C. (RMSC 36/41). (Wray 1991: 45,mammal; bear; single;,11,complete,unk,,,,6.8,3.3,017,qatar_item,combs,"/img/derivatives/iiif/images/18/full/250,/0/default.jpg","/img/derivatives/iiif/images/18/full/1140,/0/default.jpg",/img/derivatives/iiif/18/manifest.json
19,Cameron,Cameron,1595-1610,RMSC 475/4 1,bone,397. fragment of comb with double dentition in andouiller. It has a perforation at one end It has a width of 4.2 cm. It comes from a burial (#13 cemetery 2) at the Seneca Cameron site dated 1575-1595 AD. J.-C. (RMSC 475/4 1,none;,,fragment,funerary,,,,,4.2,018,qatar_item,combs,"/img/derivatives/iiif/images/19/full/250,/0/default.jpg","/img/derivatives/iiif/images/19/full/1140,/0/default.jpg",/img/derivatives/iiif/19/manifest.json
20,Dutch Hollow,Dutch Hollow,1605-1620,RMSC AR 27750,bone,$1. Incomplete comb. Its handle is carved and represents the stylized busts of three human beings. Their head and torso are triangular in shape. It had more than 14 teeth that form 40% of its height. He was found in the grave of a child of about three years old behind his head. This comb comes from the seneca Dutch flollow site dating from 1605-1620 AD. It is very similar to the neutral comb #255 which is almost a century older. (RMSC AR 27750). (Ritchie 1954: 25,human; triple; bust; hourglass;,14,incomplete,unk,,,,,,019,qatar_item,combs,"/img/derivatives/iiif/images/20/full/250,/0/default.jpg","/img/derivatives/iiif/images/20/full/1140,/0/default.jpg",/img/derivatives/iiif/20/manifest.json
21,Dutch Hollow,Dutch Hollow,1605-1620,RMSC 278998,bone,61. Complete comb whose carved handle represents two animals facing each other joined by the muzzle. It has 16 teeth that make up 46% of the total length of the comb. He was found in the grave (#68) of a child about 12 years old resting near the right shoulder. It comes from the seneca Dutch Hollow site dating from 1605-1620 AD. This comb was repatriated to the Senecas under NAGPRA. (RMSC AR $27899) (Ritchie 1954: 25,mammal; dual; symmetrical;,16,complete,funerary,unk,child,shoulder,,,020,qatar_item,combs,"/img/derivatives/iiif/images/21/full/250,/0/default.jpg","/img/derivatives/iiif/images/21/full/1140,/0/default.jpg",/img/derivatives/iiif/21/manifest.json
22,Dutch Hollow,Dutch Hollow,1605-1620,RMSC AR 27855,bone,78. Incomplete comb in andouiller. Its handle is carved and represents an animal in profile whose head is broken. Its base is perforated with seven holes. This comb was deposited in a burial behind the head of a young man of about 24 years old (#61) at the Dutch Hollow site a Seneca site dating from 1605-1620 AD. J.-C. (RMSC AR 27855). (Ritchie 1954: 25,mammal; single;,,incomplete,funerary,male,adult,head,,,021,qatar_item,combs,"/img/derivatives/iiif/images/22/full/250,/0/default.jpg","/img/derivatives/iiif/images/22/full/1140,/0/default.jpg",/img/derivatives/iiif/22/manifest.json
23,Dutch Hollow,Dutch Hollow,1605-1620,,bone,131. Incomplete comb with a hollowed out triangular handle. It has 14 teeth that form 41 3/4 of its total length It comes from the seneca Dutch Hollow site dated 1605-1620 AD. J.-C,triangular;,14,incomplete,unk,,,,,,022,qatar_item,combs,"/img/derivatives/iiif/images/23/full/250,/0/default.jpg","/img/derivatives/iiif/images/23/full/1140,/0/default.jpg",/img/derivatives/iiif/23/manifest.json
24,Dutch Hollow,Dutch Hollow,1605-1620,RMSC AR 27775,bone,132. Incomplete double dentition comb. Its teeth are thinner on one side than on the other. Its base is decorated with two series of two horizontal lines. It has a perforation at one end and one in the center It has a width of 7.9 cm. It comes from the seneca Dutch Hollow site dated 1605-1620 AD. J.-C. and would have a Dutch origin. (RMSC AR 27775). (Wray 1991: 217,none;,,incomplete,unk,,,,,7.9,023,qatar_item,combs,"/img/derivatives/iiif/images/24/full/250,/0/default.jpg","/img/derivatives/iiif/images/24/full/1140,/0/default.jpg",/img/derivatives/iiif/24/manifest.json
25,Dutch Hollow,Dutch Hollow,1605-1620,RMSC 10170/v,bone,415. Incomplete double dentition comb. Its teeth are thinner on one side than on the other. Its base is decorated with two series of two horizontal lines It has a perforation at one end. It has a length of 5.5 cm and a residual width of 5.3 cm. It comes from the seneca Dutch Hollow site dating from 1605-1620 AD. J.-C. (RMSC 10170/v,none;,,incomplete,unk,,,,5.5,5.3,024,qatar_item,combs,"/img/derivatives/iiif/images/25/full/250,/0/default.jpg","/img/derivatives/iiif/images/25/full/1140,/0/default.jpg",/img/derivatives/iiif/25/manifest.json
26,Factory Hollow,Factory Hollow,1605-1620,RMSC 5137/102,bone,188. Almost complete comb in andouiller. Its handle has the fonne of a partially hollowed out oak acorn. Crossed incised lines are found all over its surface. It has teeth that form 43% of its total length. It measures 8.4 cm in length and 6.7 cm in width. It comes from the seneca site of Factory Hollow dating from 1600-1620 AD. J.-C. (RMSC 5137/102,none;,,complete,unk,,,,8.4,6.7,025,qatar_item,combs,"/img/derivatives/iiif/images/26/full/250,/0/default.jpg","/img/derivatives/iiif/images/26/full/1140,/0/default.jpg",/img/derivatives/iiif/26/manifest.json
27,Factory Hollow,Factory Hollow,1605-1620,RMSC 30/102,bone,245. Complete comb in andouiller. Its carved handle represents the bust of two human beings. Facial features are engraved. The comb is covered with a green color perhaps a painting or stain It has a length of 6.7 cm and a width of 4 cm. It has 15 teeth that form 45% of its total height. It comes from the burial of a baby found at the site of Factory Hollow a Seneca site dating from 1600-1620 AD. J.-C. (RMSC 30/102). (Wray 1963: 39,human; dual; bust; symmetrical,15,complete,funerary,unk,infant,,6.7,4,026,qatar_item,combs,"/img/derivatives/iiif/images/27/full/250,/0/default.jpg","/img/derivatives/iiif/images/27/full/1140,/0/default.jpg",/img/derivatives/iiif/27/manifest.json
28,Factory Hollow,Factory Hollow,1605-1620,RMSC 216/102,bone,272. Incomplete comb in andouiller. The effigy handle is carved in the shape of two herons facing each other and whose beaks form a stud separating them. The base of the comb is incised with a horizontal line. It measures 8.8 cm in length and 4.9 cm in width. Its 16 teeth account for 42% of the total height of the comb. It comes from a burial (#85) of an old Seneca woman buried in a bent position where he was placed between his face and his knees. It comes from the Factoiy Hollow site dated 1600-1620 AD. J.-C. (RMSC 216/102)(Wray 1963: 39,bird; dual; heron; symmetrical; column;,16,incomplete,funerary,female,elderly;,head,8.8,4.9,027,qatar_item,combs,"/img/derivatives/iiif/images/28/full/250,/0/default.jpg","/img/derivatives/iiif/images/28/full/1140,/0/default.jpg",/img/derivatives/iiif/28/manifest.json
29,Factory Hollow,Factory Hollow,1605-1620,RMSC 265/102,bone,349. Fragment of comb in andouiller. It has 2 teeth left and has a residual length of 5.4 cm. It comes from a dump at the seneca Factory Hollow site dating from 1600-1620 AD (RMSC 265/102,none;,2,fragment,refuse,,,,5.4,,028,qatar_item,combs,"/img/derivatives/iiif/images/29/full/250,/0/default.jpg","/img/derivatives/iiif/images/29/full/1140,/0/default.jpg",/img/derivatives/iiif/29/manifest.json
30,Factory Hollow,Factory Hollow,1605-1620,RMSC 1299/102,bone,375. Draft comb in andouiller. His seven teeth all broken are not separated. It has a residual length of 6.8 cm a width of 1.9 cm. It comes from the seneca site of Factory Hollow dating from 1600-1620 AD. J.-C. (RMSC 1299/102,none;,7,draft,unk,,,,6.8,1.9,029,qatar_item,combs,"/img/derivatives/iiif/images/30/full/250,/0/default.jpg","/img/derivatives/iiif/images/30/full/1140,/0/default.jpg",/img/derivatives/iiif/30/manifest.json
31,Factory Hollow,Factory Hollow,1605-1620,RMSC 5 102/102,bone,437. Comb fragment. 11 comes from the dump of the site seneca factory Hoilow dating from 1600 to 1620 AD. J.-C. (RMSC 5 102/102,none;,,fragment,refuse,,,,,,030,qatar_item,combs,"/img/derivatives/iiif/images/31/full/250,/0/default.jpg","/img/derivatives/iiif/images/31/full/1140,/0/default.jpg",/img/derivatives/iiif/31/manifest.json
32,Factory Hollow,Factory Hollow,1605-1620,RMSC 5 103/102,bone,438. comb fragment. It comes from the dump of the seneca Factory Hoilow site dating from 1600 to 1620 A.D. (RMSC 5 103/102,none;,,fragment,refuse,,,,,,031,qatar_item,combs,"/img/derivatives/iiif/images/32/full/250,/0/default.jpg","/img/derivatives/iiif/images/32/full/1140,/0/default.jpg",/img/derivatives/iiif/32/manifest.json
33,Factory Hollow,Factory Hollow,1605-1620,RMSC 5 104/102,bone,439. Comb fragment. It comes from the dump of the seneca Factory Hollow site dating from 1600 to 1620 AD. J.-C. (RMSC 5 104/102,none;,,fragment,refuse,,,,,,032,qatar_item,combs,"/img/derivatives/iiif/images/33/full/250,/0/default.jpg","/img/derivatives/iiif/images/33/full/1140,/0/default.jpg",/img/derivatives/iiif/33/manifest.json
34,Factory Hollow,Factory Hollow,1605-1620,RMSC 12280/102,bone,440. Comb fragment. It comes from the seneca factoiy Holiow site dating from 1600 to 1620 AD. J.-C. (RMSC 12280/102,none;,,fragment,unk,,,,,,033,qatar_item,combs,"/img/derivatives/iiif/images/34/full/250,/0/default.jpg","/img/derivatives/iiif/images/34/full/1140,/0/default.jpg",/img/derivatives/iiif/34/manifest.json
35,Factory Hollow,Factory Hollow,1605-1620,RMSC 263/102,bone,442. Unfinished comb fragment with unseparated teeth. It comes from the Seneca Factoiy Hollow site dating from 1600 to 1620 AD. J.-C. (RMSC 263/102,none;,,fragment,unk,,,,,,034,qatar_item,combs,"/img/derivatives/iiif/images/35/full/250,/0/default.jpg","/img/derivatives/iiif/images/35/full/1140,/0/default.jpg",/img/derivatives/iiif/35/manifest.json
36,Factory Hollow,Factory Hollow,1605-1620,RMSC 264/102,bone,443. Unfinished comb fragment with unseparated teeth. It comes from the seneca Factory Hollow site dating from 1600 to 1620 AD. J.-C. (RMSC 264/102,none;,,fragment,unk,,,,,,035,qatar_item,combs,"/img/derivatives/iiif/images/36/full/250,/0/default.jpg","/img/derivatives/iiif/images/36/full/1140,/0/default.jpg",/img/derivatives/iiif/36/manifest.json
37,Fugle,Fugle,1605-1620,RMSC 10002/95,bone,"247. Complete comb in andouiller. Its carved handle depicts seven stylized humans. Their head is diamond-shaped and their bust is triangular. Museum comment: ""No leg is depicted on the handle perhaps the teeth have this function"" (my translation). This comb is 5.2 cm long and 4.2 cm wide. Its 18 teeth are 465 of its total length. It is of seneca origin from the fugle site (date unknown). (RMSC 10002/95",human; septuple;,18,complete,unk,,,,5.2,4.2,036,qatar_item,combs,"/img/derivatives/iiif/images/37/full/250,/0/default.jpg","/img/derivatives/iiif/images/37/full/1140,/0/default.jpg",/img/derivatives/iiif/37/manifest.json
38,Cornish,Cornish,1620-1645,RMSC 6418/96,wood,246. Wooden comb incomplete. Its handle is carved and represents four triangular human busts. The head of a single persormage remains and its features are engraved in the material. The two middle bodies are perforated at chest level. Two horizontal lines are incised in the base. It has 20 teeth which account for 38% of its height. It has a length of 11.3 cm and a width of 6.5 cm. It comes from the Seneca Cornish site dating from 1625-1645 AD. J.-C. (RMSC 6418/96),human; quadruple; bust;,20,incomplete,unk,,,,11.3,6.5,037,qatar_item,combs,"/img/derivatives/iiif/images/38/full/250,/0/default.jpg","/img/derivatives/iiif/images/38/full/1140,/0/default.jpg",/img/derivatives/iiif/38/manifest.json
39,Cornish,Cornish,1620-1645,RMSC AR 46000,bone,353. comb fragment. He has 4 teeth left. It comes from the Seneca Cornish site dating from 1625 to 1645 AD. J.-C. (RMSC AR 46000,none;,4,fragment,unk,,,,,,038,qatar_item,combs,"/img/derivatives/iiif/images/39/full/250,/0/default.jpg","/img/derivatives/iiif/images/39/full/1140,/0/default.jpg",/img/derivatives/iiif/39/manifest.json
40,Cornish,Cornish,1620-1645,RMSC 60 13/96,bone,416. Fragment of comb with double dentition. Its teeth are thinner on one side than on the other. It has a perforation at one end. It has a length of 4.8 cm. It comes from the Seneca Comish site dating from 1625 to 1645 AD. J.-C. (RMSC 60 13/96,none;,,fragment,unk,,,,4.8,,039,qatar_item,combs,"/img/derivatives/iiif/images/40/full/250,/0/default.jpg","/img/derivatives/iiif/images/40/full/1140,/0/default.jpg",/img/derivatives/iiif/40/manifest.json
41,Cornish,Cornish,1620-1645,RMSC AR 49943,bone,435. Comb fragment. It comes from the Seneca Cornish site dating from 1625 to 1645 AD. J.-C. (RMSC AR 49943,none;,,fragment,unk,,,,,,040,qatar_item,combs,"/img/derivatives/iiif/images/41/full/250,/0/default.jpg","/img/derivatives/iiif/images/41/full/1140,/0/default.jpg",/img/derivatives/iiif/41/manifest.json
42,Warren,Warren,1620-1645,NYSM 1518,wood,19. Incomplete wooden comb. Its handle is carved in triangular shape and is hollowed out. The contours of the handle are wavy. 11 was carved in a knot of wood. It has a residual length of 5.4 cm and a width of 3.8 cm. It comes from the funerary context of the Seneca West Bloomfield site dating from around 1656 AD. J.-C. (NYSM 151$) Maybe Warren???,triangular;,,incomplete,funerary,,,,5.4,3.8,041,qatar_item,combs,"/img/derivatives/iiif/images/42/full/250,/0/default.jpg","/img/derivatives/iiif/images/42/full/1140,/0/default.jpg",/img/derivatives/iiif/42/manifest.json
43,Warren,Warren,1620-1645,RMSC 10069/89,bone,285. Complete comb whose handle is carved with the effigy of two herons facing each other separated by a pillar composed of the beaks of birds. A horizontal line is incised on the base. It has 16 teeth that make up 44% of its total length. 11 is about 7.6 cm high and 5.3 cm wide. It comes from the Seneca Warren site dated to 1625-1645 AD. J.-C. (RMSC 10069/89,bird; dual; heron; symmetrical; column;,16,complete,unk,,,,7.6,5.3,042,qatar_item,combs,"/img/derivatives/iiif/images/43/full/250,/0/default.jpg","/img/derivatives/iiif/images/43/full/1140,/0/default.jpg",/img/derivatives/iiif/43/manifest.json
44,Warren,Warren,1620-1645,RMSC 6104-98,bone,379. Draft comb. It measures 8.5 cm by 4.9 cm. A horizontal line has been drawn at the bottom of the blank. It comes from the Seneca Warren site dating from 1625-1645 AD. (RMSC 6104-$9,none;,,draft,unk,,,,8.5,4.9,043,qatar_item,combs,"/img/derivatives/iiif/images/44/full/250,/0/default.jpg","/img/derivatives/iiif/images/44/full/1140,/0/default.jpg",/img/derivatives/iiif/44/manifest.json
45,Warren,Warren,1620-1645,RMSC 12113/89,bone,405. Incomplete double dentition comb. It has 1$ teeth on one side and 19 on the other. Its base is decorated with incised lines in crosspieces framed by horizontal lines. It has a perforation at one end. It has a length of 6.5 cm and a width of 4.4 cm. It comes from the Seneca Warren site dated 1625-1645 AD. J.-C. (RMSC 12113/89,none;,37,incomplete,unk,,,,6.5,4.4,044,qatar_item,combs,"/img/derivatives/iiif/images/45/full/250,/0/default.jpg","/img/derivatives/iiif/images/45/full/1140,/0/default.jpg",/img/derivatives/iiif/45/manifest.json
46,Power House,Power House,1640-1660,RMSC 1069/24,bone,200. Incomplete comb damaged having had 17 teeth. Its handle is rectangular and looks undecorated. It is about 12 cm long and 5.7 cm wide. Teeth account for 29% of the comb. It comes from the seneca Power House site (NY) and dates from 1640-1660 AD. J.-C. (RMSC 1069/24),none;,17,incomplete,unk,,,,12,5.7,045,qatar_item,combs,"/img/derivatives/iiif/images/46/full/250,/0/default.jpg","/img/derivatives/iiif/images/46/full/1140,/0/default.jpg",/img/derivatives/iiif/46/manifest.json
47,Power House,Power House,1640-1660,RMSC 3395/24,bone,"274. Complete comb whose carved handle pattern represents a ""keyhole"" or two abstract herons. 11 has a height of 10.2 cm and a width of 4.8 cm. Its 13 teeth represent 29% of its total length. It comes from the Power House site a Seneca site dated 1640-1660 AD. J.-C. (RMSC 3395/24",bird; heron; dual; symmetrical;,13,complete,unk,,,,10.2,4.8,046,qatar_item,combs,"/img/derivatives/iiif/images/47/full/250,/0/default.jpg","/img/derivatives/iiif/images/47/full/1140,/0/default.jpg",/img/derivatives/iiif/47/manifest.json
48,Power House,Power House,1640-1660,RMSC 1326/24,bone,291. Full comb. The handle is carved in the shape of two herons face to face separated by a stud formed by their beaks. One can see landmarks that were drawn before the teeth were made. This comb has a length of about 10.8 cm and a width of 4.9 cm. It has 15 teeth which form 31% of its total length It comes from the site of Power House a seneca site dating from 1640-1660 AD. J.-C. (RMSC 1326/24,bird; dual; heron; symmetrical; column;,15,complete,unk,,,,10.8,4.9,047,qatar_item,combs,"/img/derivatives/iiif/images/48/full/250,/0/default.jpg","/img/derivatives/iiif/images/48/full/1140,/0/default.jpg",/img/derivatives/iiif/48/manifest.json
49,Power House,Power House,1640-1660,RMSC 2477/24,bone,"296. Comb almost complete some of its 15 teeth are broken. The handle is decorated with symmetrical patterns representing two mammiferes carved face to face separated by a stud. On the body of animals are engraved ""spiritual lines"" that go from the heart to the mouth. The base of the comb is also incised with chevron patterns and horizontal lines. It has a length of about 9 cm and a width of about 3.9 cm. Its teeth form 33% of its total length. This comb of Seneca origin comes from the Power House site and dates from 1640 to 1660 AD. J.-C. (RMSC 2477/24",mammal; dual; column; symmetrical;,15,complete,unk,,,,9,3.9,048,qatar_item,combs,"/img/derivatives/iiif/images/49/full/250,/0/default.jpg","/img/derivatives/iiif/images/49/full/1140,/0/default.jpg",/img/derivatives/iiif/49/manifest.json
50,Power House,Power House,1640-1660,RMSC 2310/24,bone,327. Complete comb in andouiller it seems unfinished. The handle is carved and depicts a wolf whose head is turned backwards. Landmarks are visible on the teeth. It has 15 teeth which form 34% of its total length. It is 10.8 cm long and 5.1 cm wide. It comes from a funerary context (burial # 156). This comb comes from the seneca Power House site dated to 1640-1660 AD. J.-C. (RMSC 2310/24,mammal; single; wolf;,15,complete,funerary,,,,10.8,5.1,049,qatar_item,combs,"/img/derivatives/iiif/images/50/full/250,/0/default.jpg","/img/derivatives/iiif/images/50/full/1140,/0/default.jpg",/img/derivatives/iiif/50/manifest.json
51,Power House,Power House,1640-1660,RMSC 862/24,bone,402. Incomplete double dentition comb. Its teeth are thinner on one side than on the other. Its base is decorated with two series of two horizontal lines. It has a perforation at one end. It has an xlvi length of 5.1 cm and a residual width of 6 cm. It comes from the seneca site of Power House dated 1640-1660 AD. J.-C. (RMSC 862/24,none;,,incomplete,unk,,,,5.1,6,050,qatar_item,combs,"/img/derivatives/iiif/images/51/full/250,/0/default.jpg","/img/derivatives/iiif/images/51/full/1140,/0/default.jpg",/img/derivatives/iiif/51/manifest.json
52,Power House,Power House,1640-1660,RMSC 175/24,bone,403. comb fragment with double dentition. Its teeth are thinner on one side than on the other. Its base is decorated with two series of two horizontal lines. It has a perforation at one end. 11 comes from the seneca Power House site dating from 1640 to 1660 AD. (RMSC 175/24,none;,,fragment,unk,,,,,,051,qatar_item,combs,"/img/derivatives/iiif/images/52/full/250,/0/default.jpg","/img/derivatives/iiif/images/52/full/1140,/0/default.jpg",/img/derivatives/iiif/52/manifest.json
